N,utmx,utmy
263,"579873,768163","4760178,47149"
95,"580012,150508","4759743,55555"
262,"580122,856385","4760174,51771"
261,"580229,60848","4760237,77821"
90,"580407,528639","4760079,62696"
91,"580371,944607","4760380,11434"
265,"580103,087478","4759652,61858"
763,"580091,226134","4759534,00514"
762,"580091,226134","4759470,74464"
761,"580099,133697","4759379,80767"
267,"580225,654699","4759530,05136"
266,"580150,532854","4759577,49674"
268,"580502,41939","4759114,90432"
88,"580905,705083","4759486,55977"
150,"581350,505479","4760780,4347"
75,"581344,574807","4760658,85592"
159,"581285,268088","4760599,5492"
161,"581329,748128","4760537,27715"
731,"581406,846863","4760513,55446"
732,"581427,604215","4760463,14375"
1352,"581735,999156","4760359,35699"
1351,"581795,305876","4760365,28766"
148,"581872,404611","4760409,7677"
147,"581905,023307","4760495,76244"
74,"581949,503347","4760608,44521"
133,"581824,959236","4760804,15738"
136,"581780,479196","4760133,99145"
205,"581172,391202","4755539,71774"
204,"581400,907406","4755588,08978"
201,"582771,037249","4757344,58539"
269,"580532,221484","4758949,604"
1442,"582655,56446","4759646,56412"
67,"582784,923067","4762655,43825"
173,"583053,008697","4762566,73445"
175,"584056,984382","4762835,68347"
178,"584262,58101","4762793,5098"
141,"583935,735089","4762166,1765"
171,"583471,824749","4761844,60229"
174,"583334,760331","4761718,08129"
68,"583508,726708","4760795,53232"
69,"585311,156759","4759055,4933"
172,"583180,379144","4762151,17041"
191,"582981,37368","4761874,28941"
132,"582131,647367","4760605,67946"
77,"582186,691416","4760734,11558"
92,"582113,299351","4760747,45959"
149,"582133,315369","4760820,85165"
158,"582260,083482","4760857,54769"
145,"582163,339396","4760942,61576"
152,"581888,11915","4760999,32781"
154,"582308,455525","4761154,45195"
79,"581741,75202","4761790,37752"
1441,"582144,574379","4761739,08647"
87,"582265,921487","4761532,67129"
86,"582204,622432","4761525,16528"
130,"582001,960252","4761508,90227"
153,"582001,960252","4761452,60722"
131,"581926,900185","4761433,8422"
76,"581814,310084","4761445,10121"
164,"581479,041785","4761289,97707"
264,"579695,839075","4760101,37945"
